account,total_volume,total_pnl,total_trades,profitable_trades,unprofitable_trades,avg_profit_per_trade,avg_loss_per_trade,total_positive_pnl,total_negative_pnl,days_since_first_trade,days_since_last_trade,daily_mean_ROI,daily_ROI_std,MDD,close_trades_in_lastfew_months,max_volume,daily_SUM_ROI,neg_returns,exchange,mean_open_trades,median_open_trades,mode_open_trades,std_negative_returns,optimum_profit_percentage,optimum_stop_loss_percentage,ROI_Profit_Percent,trade_type,win_rate,profit_factor,sharpe_ratio,sortino_ratio,Ranking_Score
0xbec6e4ac010114e515483060fda81cf9088040ff,2149249.787,38138.64864,37,25,12,5077.742403,-7400.409287,126943.5601,-88804.91144,614,12,8.600509806,23.94209975,5585613544,36,115000,318.2188628,-107.6790081,GMXV1,1,1,1,4.541721791,10.16180674,-9.245662595,1.774509825,SELL,0.675675676,1.429460697,6.860046128,36.09897895,0.205046587
0xe74aa2a67ea06ea7e8a1614d318dc61d49b4127f,886550.1964,8440.276827,35,31,4,467.8361441,-1515.66091,14502.92047,-6062.643639,917,829,4.377909365,5.677427655,0,0,295223.2584,153.2268278,-17.51047067,GMXV1,5.142857143,3,1,2.318123812,2.434635795,0,0.952035977,SELL,0.885714286,2.391948032,14.70609317,35.92585607,0.200769096
0xf05b641229bb2aa63b205ad8b423a390f7ef05a7,1018537.276,11005.05379,30,30,0,366.8351264,0,11005.05379,0,708,706,0.858367017,0.78146423,0,0,115263.7255,25.7510105,0,GMXV1,1,1,1,0,0.677460373,0,1.080476292,SELL,1,11006.05379,20.71992417,1639.907883,0.200753182
0x129fbff458f643d1d0e2a56eb3a7cd04290b36f7,1102352.257,15979.92639,31,22,9,910.1026096,-449.1478917,20022.25741,-4042.331025,1066,992,1.265802313,4.532681296,3941.613114,0,105087.21,39.2398717,-34.01480888,GMXV1,1,1,1,2.954014223,1.562019992,-0.158467924,1.449620689,SELL,0.709677419,4.952168716,5.323534199,8.158907958,0.198549139
0x56503ae84b41f6d11da4a636ac8881900c96a23e,1750482.677,11452.76393,55,50,5,305.7166711,-766.6139257,15285.83355,-3833.069629,838,772,0.730213929,1.159090704,0,0,162271.9967,40.16176608,-10.72719369,GMXV1,1,1,1,0.717811216,0.760555617,0,0.654263197,SELL,0.909090909,3.987103792,11.9329642,19.16804414,0.19769277
0x95254396597aed7b22ee706f0d6bb6897537e30e,28074981.37,211305.7923,49,36,13,8749.491491,-7975.069338,314981.6937,-103675.9014,989,950,0.799202538,1.897888696,0,0,4499526.338,39.16092437,-23.67423107,GMXV1,1,1,1,1.11145773,1.55199614,-0.195645169,0.752648023,SELL,0.734693878,3.038118322,8.002952731,13.61508566,0.197023407
0x80ca42ca326cb8ad9f3724541643132dbeb6bef3,10425487.58,17875.92262,36,25,11,6038.448798,-12098.66339,150961.2199,-133085.2973,1031,987,1.655003045,4.145191487,0,0,1606188.894,59.58010961,-25.95583353,GMXV1,2.545454545,1,1,1.579954883,1.539199991,-0.189127208,0.17146366,SELL,0.694444444,1.134318281,7.609466104,19.88659496,0.196181732
0xbe7dce4cf53712dc6033bf6f48973f924ed2a2e0,109511.4634,6871.268207,30,29,1,244.7418865,-226.2465012,7097.514709,-226.2465012,659,645,5.057950154,5.732259099,0,0,28144.65478,151.7385046,-5.573538195,GMXV1,3,3,3,1.017584198,2.309469395,0,6.274473915,SELL,0.966666667,31.23706931,16.82822045,94.03803814,0.19324222
0x1ac2d26c11e1853b0fcde1173f42210a8a392841,5807663.861,8100.130263,97,78,19,112.4941583,-35.49547832,8774.544351,-674.4140881,843,838,0.142370367,0.183114214,0,0,117411.9542,13.80992561,-1.135075037,GMXV1,1.010204082,1,1,0.027883288,0.105644962,0,0.139473125,SELL,0.804123711,12.99283581,14.08483606,71.79899519,0.193210803
0xa157db5e90f6b105d4a76b2f2d4248bca8796e90,25083424.32,201533.84,54,38,16,9974.066222,-11092.54227,379014.5164,-177480.6764,996,926,0.982691258,2.413771906,0,0,2953219.772,53.06532794,-32.44244743,GMXV1,1,1,1,1.164090533,1.537816126,-0.30346542,0.803454255,SELL,0.703703704,2.135519137,7.745898069,15.99049614,0.191691224
0x7ef190f5ecf762e6d79cc43d6aef67bfc761c746,2876958.463,15075.10239,50,44,6,379.0449746,-267.1460828,16677.97888,-1602.876497,759,704,0.56902747,0.634404238,0,0,191885,28.45137352,-2.384528452,GMXV1,1.5,1,1,0.181214015,0.528589385,0,0.52399444,SELL,0.88,10.39916659,16.87024064,56.85385868,0.188392705
0x5aa7005236c4b4953d6cb9f849103bf1daf48053,3658156.353,9603.617731,79,71,8,470.6058558,-2976.174754,33413.01576,-23809.39803,795,675,0.719017847,2.279420539,0,0,220731.7852,56.80240991,-34.3887119,GMXV1,3.203389831,2,1,1.779032231,0.903939359,0,0.262526169,SELL,0.898734177,1.403337135,6.000128173,7.678350586,0.187474116
0x9dbed1de02833275673fb87d37a40a6a1d424fcd,151042153.2,612612.0889,121,78,43,21191.85711,-24194.25036,1652964.854,-1040352.765,1069,934,0.52147186,2.69667144,0,0,4757145.349,63.09809502,-101.9760988,GMXV1,1,1,1,1.511695512,1.323429362,-1.49334586,0.405590145,SELL,0.644628099,1.588849783,3.680796177,6.547108675,0.18663154
0xfdbbfb0fe2986672af97eca0e797d76a0bbf35c9,9404213.08,69540.04524,73,70,3,1250.127946,-5989.637,87508.95624,-17968.911,749,583,1.312572151,1.391705152,0,0,1000000.84,95.81776705,-6.140022528,GMXV1,3.714285714,4,1,0.439511935,0.925691202,0,0.739456291,SELL,0.95890411,4.869804655,17.89010742,55.78640697,0.185067474
0x8a6ad6dd70acba5f90acbfd094ea930099b48071,4344431.429,38939.10334,96,78,18,585.0887975,-372.1012704,45636.92621,-6697.822867,789,727,0.726426354,1.690335302,0,0,199864.7539,69.73692998,-19.52668059,GMXV1,4.466666667,2,1,0.792557919,0.486479109,0,0.896299182,SELL,0.8125,6.812827733,8.162128957,17.29265351,0.183913858
0x85ae29cfa53fd3fc324c0287c14e308b9e7a0797,9084302.231,10129.58796,174,153,21,673.8810527,-4427.343481,103103.8011,-92974.21311,826,657,0.239476919,4.931477206,0,0,511437.6084,41.66898384,-207.6555651,GMXV1,4,1.5,1,4.042333088,0.934952877,0,0.111506505,SELL,0.879310345,1.108949338,0.925877003,1.129028638,0.18380452
0x9f898a9baa8b69b7ee29702ca5a3cd03f31e848a,50582743.72,101655.2979,40,30,10,22952.2224,-58691.13742,688566.6721,-586911.3742,903,792,1.574836842,4.913964989,631.181529,0,7787971.094,62.99347366,-33.72436932,GMXV1,1.5,1.5,2,2.956818786,1.651840117,-0.010843069,0.200968335,SELL,0.75,1.173203535,6.110363433,10.14123807,0.183566013
0x16e1de94d41131ccd911039abf4041fb4ddab1c9,36386125.83,27045.04051,53,37,16,4106.173196,-7805.210483,151928.4082,-124883.3677,880,844,0.241080075,1.407013769,0,0,1930392.499,12.77724397,-21.67603181,GMXV1,2.25,1,1,0.957643116,0.478865158,-0.208451914,0.074327893,SELL,0.698113208,1.216560655,3.250376578,4.759842021,0.1831597
0x1ea6a6085f2ce3e1f982684a28879761343ff4ce,35686253.04,335868.5316,60,32,28,17242.25917,-7710.134346,551752.2933,-215883.7617,1068,1011,0.207134646,2.85087655,0,0,3067579.673,12.42807878,-45.20290836,GMXV1,1,1,1,2.029384447,0.045969118,-0.461224942,0.941170627,SELL,0.533333333,2.555776929,1.383248033,1.940439365,0.182709451
0x6365ca7eeac872310727dacebfd5c31fe9ebacea,4129945.974,34748.89265,37,24,13,4298.227275,-5262.197073,103157.4546,-68408.56195,1045,887,0.934898183,4.550137517,29.59571124,0,377778.1613,34.59123276,-46.44954102,GMXV1,1,1,1,3.031164023,1.688339903,-0.933164991,0.841388552,SELL,0.648648649,1.507953737,3.916812735,5.873147441,0.182463002
0x1f5d5433ff189f5c1f30487f599d1d754d5db029,23248027.6,214565.4781,55,34,21,6643.395029,-538.569183,225875.431,-11309.95284,962,918,0.956551295,2.329998973,0,0,1075699.084,52.6103212,-2.478677616,GMXV1,1.183673469,1,1,0.089572203,0.098146129,-0.04671715,0.922940569,SELL,0.618181818,19.96970849,7.809784122,183.5340211,0.18243478
0xbd0de86bd18e1546d17fb8800bf7675d4e86ee65,3656257.398,18448.392,42,25,17,1708.828888,-1427.784129,42720.7222,-24272.3302,1032,939,0.255244058,3.864916955,0,0,1113314.159,10.72025043,-60.1544505,GMXV1,2.666666667,1.5,1,2.093842233,0.842152005,-2.470226277,0.504570384,SELL,0.595238095,1.760027234,1.258460745,2.317869088,0.181873165
0x8d4daba34c92e581f928fca40e018382f7a0282a,4606376.882,15412.48911,57,39,18,771.3619313,-815.0347895,30083.11532,-14670.62621,1044,829,1.000598738,1.936074137,0,0,434533.1004,57.03412808,-17.43810751,GMXV1,1,1,1,0.701297594,0.46792267,-0.280918736,0.334590276,SELL,0.684210526,2.050496304,9.823064646,26.8754066,0.18043921
0x6792c4bdc1b45efa131ecca985a28ef5c4622e48,2291620.467,27914.09182,87,65,22,833.4922928,-1193.76851,54176.99903,-26262.90722,948,752,1.446911417,5.227908844,0,0,118566.2075,125.8812932,-101.0937355,GMXV1,1,1,1,3.261125447,1.201874109,-0.072852632,1.218094017,SELL,0.747126437,2.062830887,5.277526705,8.450670649,0.179801916
0x3564e1ce72d3e3273ec72e756f6cae438c700b98,82801347.62,192959.1455,138,80,58,5195.619781,-3839.490293,415649.5825,-222690.437,1003,928,0.308119032,1.248111008,0,0,2278724.204,42.5204264,-38.20462534,GMXV1,1,1,1,0.667648932,0.058678914,-0.119597456,0.233038653,SELL,0.579710145,1.866486597,4.678924038,8.686807523,0.179305129
0x79eb604cce423dd1cba290ec946646649f4e70ec,1824097.97,53617.78681,31,27,4,2021.187613,-238.5696883,54572.06556,-954.2787532,1056,602,4.509888124,4.82370416,0,0,200000,139.8065319,-6.576298523,GMXV1,1.333333333,1,1,0.797957661,3.722393344,0,2.939413765,SELL,0.870967742,57.12789631,17.82510654,106.6408499,0.178692158
0x5152746bbc7d75c23d3982a563f01af55806c718,22532931.36,86254.91728,47,42,5,9482.115028,-62398.78278,398248.8312,-311993.9139,792,581,1.784020275,3.823485476,0,0,3021760.882,83.84895291,-30.95003324,GMXV1,1,1,1,2.223565297,1.337640464,0,0.382794923,SELL,0.893617021,1.276462575,8.891036553,15.25975513,0.178254007
0x5159a56adbea403e0b5a74dfc8d9d00861c086fb,8536265.652,277106.5208,46,44,2,6335.287927,-823.074003,278752.6688,-1646.148006,747,500,2.04505217,2.799982178,0,0,1268294.692,94.0723998,-5.831323314,GMXV1,4,4,4,0.764324662,1.251674101,0,3.246226536,SELL,0.956521739,169.2341355,13.90424008,50.45773274,0.177923541
0x874f7034482acc3d9c8b442ba9b422e8d29aa3a3,46201764.49,17641.37781,76,61,15,9384.598406,-36987.94166,572460.5028,-554819.1249,1000,660,0.682211442,2.427181716,0,0,3680448.847,51.84806961,-47.45562874,GMXV1,1.111111111,1,1,1.562527226,1.051994129,0,0.038183342,SELL,0.802631579,1.031796572,5.3478291,8.288334276,0.176399833
0x49cd62ace054377eb0c97a109eb1968023b87220,944161.947,7633.821733,31,27,4,558.4431967,-1861.036145,15077.96631,-7444.144579,711,582,0.854270549,2.910642032,0,0,59662.5,26.48238701,-23.4268486,GMXV1,1,1,1,2.019727143,1.254609123,0,0.80852885,SELL,0.870967742,2.025342309,5.588091843,8.040891592,0.176166303
0xa9a856ddc554206e5ad07a40a16523204f48db8e,805341.9091,21773.01864,80,65,15,386.7799395,-224.5118285,25140.69607,-3367.677427,798,628,1.718314096,3.809792816,0,0,47679.88947,137.4651277,-38.68428555,GMXV1,3,3,3,1.550002258,1.437703433,0,2.703574518,SELL,0.8125,7.463372974,8.59427364,21.04378025,0.175187061
0xc0c226b735956a3c14b703d84c8c74fa4c7b3e50,9399151.169,16251.9195,44,38,6,837.1478354,-2593.283041,31811.61774,-15559.69825,695,581,0.25566279,0.823010056,0,0,1194260.534,11.24916275,-8.373280675,GMXV1,1.476190476,1,1,0.58228418,0.345373401,0,0.172908374,SELL,0.863636364,2.044420966,5.863591568,8.246768878,0.175156301
0x5ad911da81b204627df872780981b0d90f25c33f,11386783.46,63750.49225,42,29,13,5525.696696,-7422.670149,160245.2042,-96494.71194,793,764,0.506086701,3.260659725,0,0,556543.9139,21.25564142,-35.76159015,GMXV1,1.260869565,1,1,2.109962955,0.885822936,-0.235178538,0.55986392,SELL,0.69047619,1.66065622,2.956214847,4.5608216,0.175082451
0xdce64a75c5a15826d059fc3d0812dbd3baef5893,22209755.27,78597.27493,86,47,39,3952.102606,-2747.475579,185748.8225,-107151.5476,1070,913,0.388187042,2.081413687,0,0,911480.0833,33.38408565,-49.45990931,GMXV1,1,1,1,1.180448697,0.12512355,-0.763473275,0.353886272,SELL,0.546511628,1.733508225,3.54607177,6.229838426,0.174558262
0x9e5e0c0742f22b0acd68bfe0a06be23c6cade426,608462.294,6043.801662,43,30,13,444.9640853,-561.9323766,13348.92256,-7305.120896,783,748,1.444146063,4.0653636,0,0,43090.98155,62.09828071,-39.92047041,GMXV1,1.1,1,1,2.157710102,1.214069545,-0.528922645,0.993291075,SELL,0.697674419,1.827224426,6.770039316,12.72788818,0.174404953
0xc292eafd5422a9c961cc2630cbddf04c93db33bd,9903866.34,41566.50714,72,62,10,743.2856265,-451.7201698,46083.70884,-4517.201698,781,572,0.507199266,1.043762141,0,0,1369817.425,36.51834717,-11.07750428,GMXV1,1.4,1,1,0.566154786,0.400870743,0,0.419699799,SELL,0.861111111,10.19979008,9.195650515,16.81844639,0.174149512
0xe7f8f1923ae6313041f888d9236249779770d3e3,1644837.235,7427.122184,48,41,7,194.8972993,-80.52386949,7990.789271,-563.6670864,583,570,0.496902265,0.712208208,0,0,226215.286,23.8513087,-1.720362802,GMXV1,1,1,1,0.173040897,0.26657754,0,0.451541467,SELL,0.854166667,14.15309917,13.14483043,51.8643899,0.173260087
0x1155035612b67b29c727ba9ce8567a644ee64081,314247.7835,8132.519426,62,42,20,309.0619669,-242.4041591,12980.60261,-4848.083182,1059,750,2.703209207,6.334831113,59.92172389,0,24336.50014,167.5989708,-86.63837223,GMXV1,1,1,1,3.075065836,3.062020558,-1.480863585,2.587932152,SELL,0.677419355,2.677125164,8.139655487,16.74023899,0.173039336
0x72892ff2c572f7046a4be06fec8a8831492281b7,16814408.39,10579.05511,351,261,90,311.2263892,-785.0114718,81230.08757,-70651.03246,752,680,0.20465342,1.199991614,0,0,550985.0066,71.83335048,-103.4835667,GMXV1,1,1,1,0.821560431,0.387464498,-0.011529695,0.062916606,SELL,0.743589744,1.149734618,3.231343141,4.701880896,0.172368125
0x9ff63a840d278eb455da769684dd509661cd9d46,74461164.24,83001.15999,54,28,26,43555.04785,-43713.08384,1219541.34,-1136540.18,954,919,-0.283509862,3.925440482,0,0,3552734.291,-15.30953253,-93.09890365,GMXV1,1,1,1,2.405366835,0.353375266,-3.504268487,0.11146906,SELL,0.518518519,1.073029611,-1.376325808,-2.242495103,0.172249756
0xa3a0073318e817625fd362e41b7b13409d6bc1c6,1059446.9,8639.462579,46,32,14,366.9202139,-221.5703047,11741.44684,-3101.984266,753,727,1.190100182,2.383603626,0,0,94004.70114,54.74460838,-13.31346085,GMXV1,1.444444444,1,1,0.626294104,0.58172193,-0.412275875,0.815469145,SELL,0.695652174,3.784243116,9.498996328,35.73321191,0.172189335
0xddbc6b68a1eccab73dd3f232ae85a73d7fa35b76,998900.8644,8724.539896,36,31,5,553.632124,-1687.61119,17162.59584,-8438.055949,869,548,1.019634144,3.651118557,0,0,73051.06862,36.70682919,-30.11563353,GMXV1,6.7,5,5,2.689423823,1.426303126,0,0.87341399,SELL,0.861111111,2.033828896,5.320800916,7.216385513,0.172022808
0xf1e34bdc4d2316f27a5a61e2d5679292faf67a4f,4287203.427,8608.660096,39,28,11,927.9951575,-1579.564029,25983.86441,-17375.20431,786,702,0.264431127,3.005710513,0,0,322548.9012,10.31281396,-32.96519031,GMXV1,5,5,5,2.207618607,0.701641455,-0.378511305,0.200798965,SELL,0.717948718,1.495428112,1.675210392,2.278096681,0.171899656
